dataset_regime	seed	route	source_lexicality	label	morphology	phoneme_length	n_items	cell_flag	mean_raw_edit_distance	word_error_rate	total_raw_edit_distance	n_erroneous_items	mean_across_seeds	word_error_rate_across_seeds	n_items_per_seed
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	simple	3	28	OK	0.03571428571428571	0.03571428571428571	1.0	1	0.08928571428571427	0.05357142857142857	28
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	simple	3	28	OK	0.21428571428571427	0.10714285714285714	6.0	3	0.08928571428571427	0.05357142857142857	28
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	simple	3	28	OK	0.0	0.0	0.0	0	0.08928571428571427	0.05357142857142857	28
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	simple	3	28	OK	0.10714285714285714	0.07142857142857142	3.0	2	0.08928571428571427	0.05357142857142857	28
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	simple	4	33	OK	0.21212121212121213	0.09090909090909091	7.0	3	0.15151515151515152	0.09090909090909091	33
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	simple	4	33	OK	0.18181818181818182	0.12121212121212122	6.0	4	0.15151515151515152	0.09090909090909091	33
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	simple	4	33	OK	0.09090909090909091	0.06060606060606061	3.0	2	0.15151515151515152	0.09090909090909091	33
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	simple	4	33	OK	0.12121212121212122	0.09090909090909091	4.0	3	0.15151515151515152	0.09090909090909091	33
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	simple	5	33	OK	0.030303030303030304	0.030303030303030304	1.0	1	0.2727272727272727	0.1590909090909091	33
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	simple	5	33	OK	0.30303030303030304	0.18181818181818182	10.0	6	0.2727272727272727	0.1590909090909091	33
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	simple	5	33	OK	0.3939393939393939	0.24242424242424243	13.0	8	0.2727272727272727	0.1590909090909091	33
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	simple	5	33	OK	0.36363636363636365	0.18181818181818182	12.0	6	0.2727272727272727	0.1590909090909091	33
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	simple	7	33	OK	0.5454545454545454	0.30303030303030304	18.0	10	0.5	0.2196969696969697	33
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	simple	7	33	OK	0.30303030303030304	0.12121212121212122	10.0	4	0.5	0.2196969696969697	33
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	simple	7	33	OK	0.5454545454545454	0.24242424242424243	18.0	8	0.5	0.2196969696969697	33
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	simple	7	33	OK	0.6060606060606061	0.21212121212121213	20.0	7	0.5	0.2196969696969697	33
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	simple	8	34	OK	1.0588235294117647	0.5	36.0	17	0.9117647058823529	0.40441176470588236	34
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	simple	8	34	OK	0.8823529411764706	0.4117647058823529	30.0	14	0.9117647058823529	0.40441176470588236	34
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	simple	8	34	OK	0.9117647058823529	0.38235294117647056	31.0	13	0.9117647058823529	0.40441176470588236	34
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	simple	8	34	OK	0.7941176470588235	0.3235294117647059	27.0	11	0.9117647058823529	0.40441176470588236	34
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	simple	9	33	OK	1.7575757575757576	0.6060606060606061	58.0	20	1.4545454545454546	0.5151515151515151	33
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	simple	9	33	OK	1.1818181818181819	0.3939393939393939	39.0	13	1.4545454545454546	0.5151515151515151	33
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	simple	9	33	OK	1.5151515151515151	0.5454545454545454	50.0	18	1.4545454545454546	0.5151515151515151	33
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	simple	9	33	OK	1.3636363636363635	0.5151515151515151	45.0	17	1.4545454545454546	0.5151515151515151	33
LICHTHEIM_CLEAN	19	ltm	real	Real words	complex	3	17	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	17
LICHTHEIM_CLEAN	20	ltm	real	Real words	complex	3	17	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	17
LICHTHEIM_CLEAN	21	ltm	real	Real words	complex	3	17	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	17
LICHTHEIM_CLEAN	22	ltm	real	Real words	complex	3	17	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	17
LICHTHEIM_CLEAN	19	ltm	real	Real words	complex	4	32	OK	0.0	0.0	0.0	0	0.0	0.0	32
LICHTHEIM_CLEAN	20	ltm	real	Real words	complex	4	32	OK	0.0	0.0	0.0	0	0.0	0.0	32
LICHTHEIM_CLEAN	21	ltm	real	Real words	complex	4	32	OK	0.0	0.0	0.0	0	0.0	0.0	32
LICHTHEIM_CLEAN	22	ltm	real	Real words	complex	4	32	OK	0.0	0.0	0.0	0	0.0	0.0	32
LICHTHEIM_CLEAN	19	ltm	real	Real words	complex	5	101	OK	0.0	0.0	0.0	0	0.007425742574257425	0.0049504950495049506	101
LICHTHEIM_CLEAN	20	ltm	real	Real words	complex	5	101	OK	0.0	0.0	0.0	0	0.007425742574257425	0.0049504950495049506	101
LICHTHEIM_CLEAN	21	ltm	real	Real words	complex	5	101	OK	0.0	0.0	0.0	0	0.007425742574257425	0.0049504950495049506	101
LICHTHEIM_CLEAN	22	ltm	real	Real words	complex	5	101	OK	0.0297029702970297	0.019801980198019802	3.0	2	0.007425742574257425	0.0049504950495049506	101
LICHTHEIM_CLEAN	19	ltm	real	Real words	complex	7	64	OK	0.0	0.0	0.0	0	0.01171875	0.00390625	64
LICHTHEIM_CLEAN	20	ltm	real	Real words	complex	7	64	OK	0.0	0.0	0.0	0	0.01171875	0.00390625	64
LICHTHEIM_CLEAN	21	ltm	real	Real words	complex	7	64	OK	0.046875	0.015625	3.0	1	0.01171875	0.00390625	64
LICHTHEIM_CLEAN	22	ltm	real	Real words	complex	7	64	OK	0.0	0.0	0.0	0	0.01171875	0.00390625	64
LICHTHEIM_CLEAN	19	ltm	real	Real words	complex	8	46	OK	0.0	0.0	0.0	0	0.0	0.0	46
LICHTHEIM_CLEAN	20	ltm	real	Real words	complex	8	46	OK	0.0	0.0	0.0	0	0.0	0.0	46
LICHTHEIM_CLEAN	21	ltm	real	Real words	complex	8	46	OK	0.0	0.0	0.0	0	0.0	0.0	46
LICHTHEIM_CLEAN	22	ltm	real	Real words	complex	8	46	OK	0.0	0.0	0.0	0	0.0	0.0	46
LICHTHEIM_CLEAN	19	ltm	real	Real words	complex	9	45	OK	0.15555555555555556	0.044444444444444446	7.0	2	0.07777777777777778	0.02777777777777778	45
LICHTHEIM_CLEAN	20	ltm	real	Real words	complex	9	45	OK	0.044444444444444446	0.022222222222222223	2.0	1	0.07777777777777778	0.02777777777777778	45
LICHTHEIM_CLEAN	21	ltm	real	Real words	complex	9	45	OK	0.08888888888888889	0.022222222222222223	4.0	1	0.07777777777777778	0.02777777777777778	45
LICHTHEIM_CLEAN	22	ltm	real	Real words	complex	9	45	OK	0.022222222222222223	0.022222222222222223	1.0	1	0.07777777777777778	0.02777777777777778	45
LICHTHEIM_CLEAN	19	ltm	real	Real words	simple	3	83	OK	0.0	0.0	0.0	0	0.0	0.0	83
LICHTHEIM_CLEAN	20	ltm	real	Real words	simple	3	83	OK	0.0	0.0	0.0	0	0.0	0.0	83
LICHTHEIM_CLEAN	21	ltm	real	Real words	simple	3	83	OK	0.0	0.0	0.0	0	0.0	0.0	83
LICHTHEIM_CLEAN	22	ltm	real	Real words	simple	3	83	OK	0.0	0.0	0.0	0	0.0	0.0	83
LICHTHEIM_CLEAN	19	ltm	real	Real words	simple	4	66	OK	0.0	0.0	0.0	0	0.0	0.0	66
LICHTHEIM_CLEAN	20	ltm	real	Real words	simple	4	66	OK	0.0	0.0	0.0	0	0.0	0.0	66
LICHTHEIM_CLEAN	21	ltm	real	Real words	simple	4	66	OK	0.0	0.0	0.0	0	0.0	0.0	66
LICHTHEIM_CLEAN	22	ltm	real	Real words	simple	4	66	OK	0.0	0.0	0.0	0	0.0	0.0	66
LICHTHEIM_CLEAN	19	ltm	real	Real words	simple	5	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	20	ltm	real	Real words	simple	5	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	21	ltm	real	Real words	simple	5	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	22	ltm	real	Real words	simple	5	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	19	ltm	real	Real words	simple	7	112	OK	0.0	0.0	0.0	0	0.011160714285714284	0.006696428571428571	112
LICHTHEIM_CLEAN	20	ltm	real	Real words	simple	7	112	OK	0.008928571428571428	0.008928571428571428	1.0	1	0.011160714285714284	0.006696428571428571	112
LICHTHEIM_CLEAN	21	ltm	real	Real words	simple	7	112	OK	0.026785714285714284	0.008928571428571428	3.0	1	0.011160714285714284	0.006696428571428571	112
LICHTHEIM_CLEAN	22	ltm	real	Real words	simple	7	112	OK	0.008928571428571428	0.008928571428571428	1.0	1	0.011160714285714284	0.006696428571428571	112
LICHTHEIM_CLEAN	19	ltm	real	Real words	simple	8	42	OK	0.11904761904761904	0.023809523809523808	5.0	1	0.02976190476190476	0.005952380952380952	42
LICHTHEIM_CLEAN	20	ltm	real	Real words	simple	8	42	OK	0.0	0.0	0.0	0	0.02976190476190476	0.005952380952380952	42
LICHTHEIM_CLEAN	21	ltm	real	Real words	simple	8	42	OK	0.0	0.0	0.0	0	0.02976190476190476	0.005952380952380952	42
LICHTHEIM_CLEAN	22	ltm	real	Real words	simple	8	42	OK	0.0	0.0	0.0	0	0.02976190476190476	0.005952380952380952	42
LICHTHEIM_CLEAN	19	ltm	real	Real words	simple	9	21	OK	0.19047619047619047	0.047619047619047616	4.0	1	0.07142857142857142	0.023809523809523808	21
LICHTHEIM_CLEAN	20	ltm	real	Real words	simple	9	21	OK	0.09523809523809523	0.047619047619047616	2.0	1	0.07142857142857142	0.023809523809523808	21
