space	lexicon_index	word	pc1	pc2
glove	321	posts	-0.37518808245658875	0.07457167655229568
glove	322	big	-0.5837342739105225	0.023488616570830345
glove	323	media	-0.5408400297164917	0.050286613404750824
glove	324	law	-0.5343254804611206	-0.040765125304460526
glove	325	control	-0.5623651146888733	0.1671479046344757
glove	326	water	-0.4534437954425812	0.13960042595863342
glove	327	history	-0.5357339978218079	0.009382754564285278
glove	328	pictures	-0.3793169856071472	-0.006820583250373602
glove	329	size	-0.4161701202392578	0.21070227026939392
glove	330	art	-0.40208354592323303	-0.07528094947338104
glove	331	personal	-0.48499876260757446	0.11543768644332886
glove	332	since	-0.683836817741394	-0.06415817141532898
glove	333	including	-0.6334679126739502	-0.05969876050949097
glove	334	guide	-0.37243208289146423	0.004237672314047813
glove	335	shop	-0.3555242121219635	-0.07046154886484146
glove	336	directory	-0.09405641257762909	0.06577101349830627
glove	337	board	-0.5236281752586365	-0.10189633071422577
glove	338	location	-0.4548189342021942	0.03436119481921196
glove	339	change	-0.6323839426040649	0.22303545475006104
glove	340	white	-0.4761752486228943	-0.0794968456029892
glove	341	text	-0.3533821105957031	0.12692594528198242
glove	342	small	-0.5565086007118225	0.12451472878456116
glove	343	rating	-0.31900644302368164	0.04608124494552612
glove	344	rate	-0.4679850935935974	0.19017446041107178
glove	345	government	-0.6628092527389526	0.11779478192329407
glove	346	children	-0.5068120360374451	-0.06097133830189705
glove	347	during	-0.6325619220733643	-0.038628749549388885
glove	348	usa	-0.38297075033187866	-0.29744526743888855
glove	349	return	-0.6004871726036072	-0.030569447204470634
glove	350	students	-0.5047450661659241	0.017530927434563637
glove	351	v	-0.24240951240062714	-0.22680141031742096
glove	352	shopping	-0.35306406021118164	0.02291041985154152
glove	353	account	-0.4982237219810486	0.12243440747261047
glove	354	times	-0.5848853588104248	-0.042995914816856384
glove	355	sites	-0.4557410180568695	0.16537010669708252
glove	356	level	-0.5528157949447632	0.18177054822444916
glove	357	digital	-0.3611711263656616	0.12758035957813263
glove	358	profile	-0.4568469226360321	0.09064766019582748
glove	359	previous	-0.6049935817718506	0.020810717716813087
glove	360	form	-0.5113515853881836	0.2144707292318344
glove	361	events	-0.5070707201957703	0.07672238349914551
glove	362	love	-0.41239672899246216	-0.0676632672548294
glove	363	old	-0.4480542838573456	-0.18245692551136017
glove	364	john	-0.44112950563430786	-0.47734779119491577
glove	365	main	-0.557619571685791	0.013602732680737972
glove	366	call	-0.5533319115638733	0.016433613374829292
glove	367	hours	-0.557496190071106	0.01291231345385313
glove	368	image	-0.3970610797405243	0.17075367271900177
glove	369	title	-0.4325440227985382	-0.16873563826084137
glove	370	non	-0.47614336013793945	0.21621203422546387
