state_id	convention	stratum	condition	denominator	exact_count	exact_proportion	WRONG_TO_CORRECT	CORRECT_TO_WRONG	CORRECT_TO_CORRECT	WRONG_TO_WRONG
W3_REP	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S1	0	0		0	0	0	0
W3_REP	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S2	0	0		0	0	0	0
W3_REP	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S3	0	0		0	0	0	0
W3_REP	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S0	0	0		NA	NA	NA	NA
W3_REP	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S1	0	0		0	0	0	0
W3_REP	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S2	0	0		0	0	0	0
W3_REP	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S3	0	0		0	0	0	0
W3_REP	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S0	3159	0	0	NA	NA	NA	NA
W3_REP	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S1	3159	3159	1	3159	0	0	0
W3_REP	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S2	3159	3159	1	3159	0	0	0
W3_REP	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S3	3159	375	0.118708452	375	0	0	2784
W3_REP	canonical	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S0	34	0	0	NA	NA	NA	NA
W3_REP	canonical	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S1	34	34	1	34	0	0	0
W3_REP	canonical	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S2	34	34	1	34	0	0	0
W3_REP	canonical	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S3	34	7	0.2058823529	7	0	0	27
W4_SRC	freear	ALL_REPETITION_ITEMS	S0	29571	25924	0.8766697102	NA	NA	NA	NA
W4_SRC	freear	ALL_REPETITION_ITEMS	S1	29571	29520	0.9982753373	3642	46	25878	5
