seed	route	factor	repeat	r2_drop	mae_increase
22	full	length	49		0.0005749524725735464
22	full	length	50		0.0004718678981426106
22	full	length	51		0.00011982456490828956
22	full	length	52		0.0001633087323192244
22	full	length	53		0.00043784418288485717
22	full	length	54		0.00044652760921569043
22	full	length	55		-0.0002868023447530569
22	full	length	56		0.00014230452950928646
22	full	length	57		0.0003030082354214987
22	full	length	58		0.00013370668284740529
22	full	length	59		0.0002526873082078487
22	full	length	60		2.690570177735392e-05
22	full	length	61		-6.895739512037969e-05
22	full	length	62		4.222614251175004e-05
22	full	length	63		0.0003899155052452417
22	full	length	64		0.0003822838352363321
22	full	length	65		-5.6193840119816985e-05
22	full	length	66		6.689861128762829e-05
22	full	length	67		0.0002146439768590221
22	full	length	68		0.00037056970680127144
22	full	length	69		0.00019045824877848665
22	full	length	70		0.0004696753939677292
22	full	length	71		0.000145578157626944
22	full	length	72		0.0001358738907918551
22	full	length	73		5.5536721646175236e-05
22	full	length	74		0.0002683419962431332
22	full	length	75		0.0002563368011214637
22	full	length	76		0.0003238550918869569
22	full	length	77		2.5181272354361274e-05
22	full	length	78		0.00014555860301501689
22	full	length	79		0.0003231930133544168
22	full	length	80		0.0003396003196500935
22	full	length	81		0.0003376516301571205
22	full	length	82		0.0002339905568625976
22	full	length	83		-3.453330039584167e-05
22	full	length	84		0.0003672536796289396
22	full	length	85		0.0002381007126815186
22	full	length	86		0.00011075864349452055
22	full	length	87		0.00015499542916584588
22	full	length	88		0.0002826473380917781
22	full	length	89		0.0003115400570263549
22	full	length	90		-5.582371694236223e-05
22	full	length	91		9.371377333713005e-05
22	full	length	92		0.00044093594998720863
22	full	length	93		0.0002927038437204729
22	full	length	94		0.000221803500725622
22	full	length	95		0.00038812416209674846
22	full	length	96		0.00024099769444361607
22	full	length	97		2.226066458991486e-05
22	full	length	98		0.00019357286032358357
22	full	length	99		0.00021285263371052972
19	full	lexicality	0	0.0005369181679244495	0.0006503946387886907
19	full	lexicality	1	0.014519543163758586	7.941972850358803e-05
19	full	lexicality	2	0.01518499348189728	0.001075343024047784
19	full	lexicality	3	0.007486840819192375	0.0005380640104963967
19	full	lexicality	4	7.566085864008087e-05	-0.00015178961291446857
19	full	lexicality	5	0.0002364743554639226	0.0005502044284581079
19	full	lexicality	6	0.014838797212520016	0.0005370688965543116
19	full	lexicality	7	0.000552168986896584	0.0010584783364613673
19	full	lexicality	8	0.014832864850304883	0.00041860019154011177
19	full	lexicality	9	0.008040789514753177	0.0010923273383098737
19	full	lexicality	10	0.014854641267714075	0.0004122330873494347
19	full	lexicality	11	0.007602495095320849	0.0005342325977707868
19	full	lexicality	12	0.007352549629549454	0.0002400479814414075
19	full	lexicality	13	0.0073349258656911775	0.00023573371992826817
19	full	lexicality	14	0.015186773190561942	0.001040498908257203
19	full	lexicality	15	0.0004242300729032644	0.0007363274328476312
19	full	lexicality	16	0.00770865759190531	0.0007610371873543152
19	full	lexicality	17	0.007805501631732548	0.0010910594925773419
19	full	lexicality	18	0.008009694640587206	0.0010546921688964518
19	full	lexicality	19	0.00023588111924233157	0.0005146221017222341
19	full	lexicality	20	0.007348990212220574	0.0002779385130125822
19	full	lexicality	21	0.00031806757631880345	0.00044366602440855385
19	full	lexicality	22	0.007834816797234079	0.0009016347102494444
19	full	lexicality	23	0.01554762704268986	0.0015815640893735057
19	full	lexicality	24	0.007567840803825776	0.0006565327155105966
19	full	lexicality	25	0.014983173417928763	0.0007463142919278271
19	full	lexicality	26	0.008041382750974546	0.0012174185096725174
19	full	lexicality	27	0.0004693892935985211	0.000909990501485259
19	full	lexicality	28	0.014740766700249819	0.0005017419319762149
19	full	lexicality	29	0.014440916124010994	0.0002096101583243734
19	full	lexicality	30	0.0073319596845837776	0.00019505213473425612
19	full	lexicality	31	0.007819565978261722	0.0008329868377710721
19	full	lexicality	32	0.015141020733645094	0.0010338764419087557
19	full	lexicality	33	0.0073331461570265155	0.0003659241497490605
